token_1,ws,token_2,count
{,1_NL_1_ID_TB,throw,16915
Identifier,1_SP,&&,4219
&&,1_SP,!,7044
Comment,1_NL,if,15285
{,1_NL_1_ID_TB,return,14145
Comment,1_NL,throw,1304
},1_NL_1_DD_TB,},33199
},2_NL,private,22184
private,1_SP,void,9573
{,1_NL_1_ID_TB,try,4651
{,1_NL_1_ID_TB,Comment,13214
),1_SP,->,3339
->,1_SP,Identifier,5681
},2_NL_1_DD_SP,},558
",",1_NL_40_ID_SP,Identifier,71
{,1_NL_36_DD_SP,Identifier,45
=,1_SP,this,3514
Identifier,1_SP,->,7279
->,1_SP,{,2527
},0_None,),5100
Comment,1_NL_12_DD_SP,Comment,54
Comment,1_NL_12_ID_SP,Identifier,99
Identifier,1_SP,:,29548
;,1_NL_12_DD_SP,Comment,138
Comment,2_NL_12_ID_SP,Comment,35
[,0_None,DecimalInteger,5245
DecimalInteger,1_SP,+,1969
),0_None,],1017
],0_None,;,8119
DecimalInteger,0_None,],6049
(,0_None,int,17919
Identifier,1_SP,<=,1540
<=,1_SP,Identifier,1323
++,0_None,),6812
),1_SP,<,1054
<,1_SP,DecimalInteger,2596
{,1_NL_4_ID_SP,for,3809
},1_NL_16_DD_SP,Comment,9
Comment,1_NL_16_ID_SP,Comment,8
Comment,1_NL_4_DD_SP,},2521
{,1_NL,Comment,111
Comment,1_NL_1_ID_TB,return,8
",",1_SP,Null,14197
Null,0_None,",",11804
",",1_NL,Identifier,34726
{,1_NL_1_ID_TB,while,66
(,0_None,Boolean,4811
return,1_SP,super,553
Identifier,1_SP,>,4703
Identifier,0_None,--,787
--,0_None,;,504
;,1_NL_2_DD_TB,throw,2
),1_NL_2_ID_TB,+,26
},1_NL_1_DD_SP,},1637
+,1_SP,this,2145
",",1_SP,this,3605
{,2_NL_1_ID_TB,int,76
Identifier,0_None,...,2141
...,1_SP,Identifier,2600
;,2_NL,int,1000
;,2_NL,void,1358
;,2_NL_1_DD_SP,},292
return,1_SP,Null,6254
;,1_NL,long,4156
",",1_SP,new,10926
),1_SP,-,2098
-,1_SP,Identifier,3724
),1_NL_3_DD_TB,Annotation,2
Identifier,1_NL_3_ID_SP,public,27
",",1_SP,boolean,6787
",",1_SP,byte,728
byte,1_SP,Identifier,2982
",",1_SP,short,75
short,1_SP,Identifier,631
",",1_SP,long,6633
",",1_SP,float,454
float,1_SP,Identifier,1911
",",1_SP,double,824
double,1_SP,Identifier,3576
byte,0_None,[,6398
Identifier,1_SP,?,2144
:,1_SP,DecimalInteger,1318
DecimalInteger,0_None,",",16668
import,1_SP,static,10016
;,2_NL,class,710
{,1_NL_2_ID_SP,private,980
Identifier,1_NL,private,3673
{,1_NL_2_ID_SP,this,6626
;,1_NL_2_DD_SP,},50774
{,1_NL_2_ID_SP,Identifier,21058
},1_NL_2_DD_SP,},14708
(,0_None,long,2788
{,1_NL_2_DD_SP,Comment,211
Comment,1_NL_4_ID_SP,return,134
{,1_NL_2_ID_SP,return,16302
Identifier,1_NL_1_DD_TB,public,19
},2_NL_1_ID_SP,Annotation,6
{,1_NL_2_ID_SP,Comment,2309
Comment,1_NL,try,1566
DecimalInteger,1_SP,?,838
public,1_SP,long,3854
{,1_NL_2_ID_SP,if,4946
{,1_NL_2_ID_SP,for,1222
},1_NL,break,2146
),1_SP,%,223
%,1_SP,DecimalInteger,304
DecimalInteger,1_SP,==,793
},2_NL_2_DD_SP,},771
;,1_NL_1_DD_SP,},820
;,2_NL,try,1827
{,1_NL_2_ID_SP,throw,2036
(,1_NL_4_ID_SP,String,1900
;,1_NL_6_DD_SP,},2396
return,1_SP,this,14719
;,2_NL_1_DD_TB,Annotation,23
;,2_NL_3_DD_TB,Annotation,28
;,2_NL_1_ID_SP,public,9
{,1_NL_1_ID_SP,Comment,8
{,1_NL_1_ID_SP,Identifier,38
",",1_NL_2_ID_SP,Identifier,201
;,1_NL_2_DD_SP,Comment,30
},2_NL_1_DD_TB,Comment,14
return,1_SP,-,610
new,1_SP,byte,734
return,1_SP,DecimalInteger,5235
},2_NL_1_ID_SP,private,9
{,1_NL_1_DD_TB,if,89
},1_NL_1_DD_SP,Comment,12
Comment,1_NL_2_DD_SP,},614
},2_NL_1_DD_TB,public,5
},1_NL,boolean,332
{,1_NL_10_ID_SP,final,3
(,0_None,Null,5826
{,1_NL_5_DD_TB,Identifier,11
(,1_NL_2_ID_TB,Identifier,273
),1_NL_2_DD_TB,),173
",",1_NL,String,4087
",",1_NL,(,360
},1_NL_1_ID_SP,Identifier,4
),1_NL_4_ID_SP,+,68
",",1_NL_4_DD_SP,Identifier,123
final,1_SP,class,1966
Comment,1_NL_12_ID_SP,if,14
public,1_SP,Annotation,252
Annotation,0_None,interface,231
),1_SP,default,465
default,1_SP,DecimalInteger,27
Comment,1_NL,int,1863
public,1_SP,final,3469
{,2_NL_1_ID_TB,private,817
{,1_NL,},3069
static,1_SP,void,3458
},1_NL,public,1626
static,1_SP,boolean,1447
{,1_NL_1_ID_TB,this,5724
;,1_NL_2_DD_TB,Comment,17
{,1_NL_1_ID_TB,final,838
{,2_NL_1_ID_TB,Comment,1753
;,2_NL_2_ID_SP,Annotation,6
{,1_NL_1_ID_SP,return,17
;,1_NL_1_ID_SP,},17
},2_NL_1_DD_TB,private,4
},2_NL_6_ID_SP,try,6
},2_NL_3_DD_TB,public,113
{,1_NL_3_DD_SP,Comment,5
Comment,1_NL_4_ID_TB,Identifier,3
Comment,1_NL_4_ID_TB,Comment,3
},1_NL_4_DD_SP,Comment,14
Comment,1_NL_3_ID_TB,},2
{,1_NL_1_ID_TB,synchronized,102
{,2_NL_1_ID_TB,if,1080
Identifier,1_NL,Identifier,1352
{,1_NL_1_DD_TB,return,177
},2_NL_3_ID_SP,Annotation,294
DecimalInteger,1_SP,||,732
{,1_NL_1_ID_SP,if,4
;,1_NL_2_DD_SP,return,68
},1_NL_5_ID_SP,Identifier,3
(,0_None,this,19873
),1_NL,Identifier,646
Null,1_SP,?,5045
?,1_SP,String,971
String,1_SP,:,938
;,1_NL_6_ID_SP,if,4
{,1_NL_5_DD_TB,if,1
public,1_SP,enum,1008
enum,1_SP,Identifier,1292
Identifier,1_NL_1_DD_SP,},10
{,1_NL_3_ID_SP,this,148
;,1_NL_3_DD_SP,},2573
{,2_NL_2_ID_SP,protected,201
{,1_NL_2_ID_SP,super,1806
{,2_NL_2_ID_SP,public,456
this,0_None,),2573
;,3_NL,public,811
{,2_NL_2_ID_SP,private,1488
;,2_NL,protected,1840
;,1_NL,protected,2815
>,0_None,",",1538
),1_SP,!=,13903
",",1_NL_36_ID_SP,Identifier,97
{,1_NL_32_DD_SP,this,19
this,0_None,(,1958
>,1_SP,{,3345
{,3_NL,},9
protected,1_SP,static,1544
{,1_NL_2_ID_SP,boolean,115
{,2_NL_2_ID_SP,Identifier,210
;,2_NL_2_DD_SP,},206
protected,1_SP,final,1149
],1_SP,{,1027
{,1_SP,Identifier,399
Identifier,1_SP,},347
{,2_NL_4_ID_SP,Identifier,1726
protected,1_SP,boolean,1082
{,2_NL_4_ID_SP,Annotation,1269
private,1_SP,int,3176
",",1_NL_16_ID_SP,Identifier,546
{,1_NL_12_DD_SP,this,29
this,1_SP,==,1140
==,1_SP,Identifier,13512
!=,1_SP,Identifier,5765
!,0_None,super,55
&&,1_NL_8_ID_SP,Identifier,223
",",1_NL_15_ID_SP,Identifier,97
&&,1_NL_15_DD_SP,Identifier,59
