token_1,ws,token_2,count
],1_SP,*,105
",",1_NL_4_ID_SP,float,18
while,0_None,(,467
Identifier,1_SP,[,44
=,1_NL_2_ID_SP,(,11
Identifier,1_SP,-=,403
-=,1_SP,(,7
:,1_NL_2_ID_SP,break,24
static,1_SP,byte,161
{,3_NL_2_ID_SP,public,4
;,1_NL,else,2187
else,1_SP,do,4
],1_SP,/,11
{,1_NL,super,41
(,1_NL_2_ID_SP,String,30
;,1_NL,(,154
Identifier,1_SP,protected,10
",",1_NL_2_ID_SP,(,7
},1_NL,while,638
{,1_NL_2_ID_SP,protected,32
(,1_NL_4_ID_SP,DecimalInteger,17
(,1_NL,DecimalInteger,1
(,1_NL_4_ID_SP,(,153
Identifier,1_NL_4_ID_SP,",",7
DecimalInteger,1_SP,>,74
==,1_SP,(,52
},1_NL,int,990
},1_NL,final,334
&,1_SP,DecimalInteger,182
Identifier,1_SP,>>>=,187
>>>=,1_SP,DecimalInteger,184
DecimalInteger,1_SP,<<,485
<<,1_SP,Identifier,259
%,1_SP,(,16
*=,1_SP,DecimalInteger,11
!=,1_SP,this,118
",",1_NL_4_ID_SP,final,87
{,1_NL_2_DD_SP,final,9
>,1_SP,this,30
==,1_SP,DecimalFloatingPoint,249
},2_NL,float,5
],1_SP,==,377
DecimalFloatingPoint,1_SP,/,104
DecimalInteger,1_SP,<,67
],1_SP,<=,37
++,1_SP,>,18
",",0_None,DecimalInteger,330
return,1_SP,DecimalFloatingPoint,55
{,2_NL_2_ID_SP,double,5
],1_SP,||,14
],1_SP,:,86
-,0_None,(,32
*,1_SP,DecimalFloatingPoint,64
],1_SP,&&,25
],1_NL_4_ID_SP,&&,8
?,1_SP,(,1016
<,1_SP,DecimalFloatingPoint,24
DecimalFloatingPoint,1_SP,||,9
&,1_SP,(,328
;,1_NL,++,30
long,0_None,...,175
],0_None,},2
assert,1_SP,(,62
],0_None,],157
transient,1_SP,float,5
{,1_NL_4_ID_SP,float,153
{,1_NL_4_ID_SP,byte,1037
],1_SP,&,411
DecimalFloatingPoint,1_SP,+,7
{,1_NL_2_DD_SP,boolean,5
",",1_NL_4_ID_SP,byte,4
!,0_None,new,2
+,1_NL_4_ID_SP,Identifier,47
return,2_SP,new,13
{,1_SP,super,4
),1_SP,return,4305
],1_SP,>,89
Identifier,1_SP,/=,18
/=,1_SP,Identifier,14
;,1_NL_6_DD_SP,case,38
;,1_NL_6_DD_SP,default,26
{,1_NL_28_DD_SP,super,24
;,2_NL_4_DD_SP,double,7
),1_NL_4_ID_SP,",",5
),0_None,},186
:,1_NL_2_ID_SP,int,4
>,1_NL_2_ID_SP,Identifier,27
],1_SP,instanceof,64
),0_None,[,682
{,2_NL_4_DD_SP,},6
--,1_SP,>,43
;,3_NL,private,100
Comment,2_NL,if,647
;,2_NL_4_DD_SP,try,36
DecimalInteger,0_None,/,9
:,1_NL_2_ID_SP,try,2
Identifier,1_NL,.,73
;,1_NL_4_DD_SP,long,4
",",1_NL_4_ID_SP,String,316
},3_NL,EOF,14
int,1_SP,[,30
{,1_NL_2_DD_SP,throw,26
),2_SP,{,374
),0_None,->,23
->,0_None,{,10
;,2_NL_6_DD_SP,},8
double,0_None,),239
float,1_SP,[,13
{,1_NL_2_ID_SP,byte,23
=,2_SP,(,32
",",1_NL_19_ID_SP,int,3
{,1_NL_17_DD_SP,super,6
protected,1_SP,double,25
;,3_NL_2_DD_SP,},7
;,4_NL,Annotation,10
},2_NL,long,322
DecimalInteger,1_SP,/,111
<=,1_SP,(,67
:,2_NL,case,9
!=,1_SP,-,392
Identifier,1_NL,+,189
<,1_SP,-,43
(,1_NL_4_ID_SP,int,30
?,1_SP,-,124
Comment,1_NL,byte,120
",",1_NL_31_ID_SP,int,3
volatile,1_SP,boolean,248
),1_NL,&&,1089
{,2_NL_2_DD_SP,private,47
(,1_NL_4_ID_SP,long,18
Comment,1_NL,continue,169
;,1_NL,continue,531
Comment,2_NL,protected,106
protected,1_SP,float,25
:,1_SP,-,202
DecimalFloatingPoint,1_SP,&&,11
=,1_NL_2_ID_SP,Identifier,66
;,1_NL_2_DD_SP,try,17
;,1_NL_2_DD_SP,while,8
<=,1_SP,DecimalFloatingPoint,2
),1_NL_4_ID_SP,&&,258
),1_NL_2_ID_SP,.,550
;,2_NL_2_DD_SP,int,3
",",0_None,int,4
(,1_NL_2_ID_SP,Identifier,438
Identifier,1_NL_2_ID_SP,+,4
Comment,1_NL,super,58
},1_NL,double,17
*=,1_SP,-,3
+,1_SP,DecimalFloatingPoint,32
-,0_None,DecimalFloatingPoint,30
Null,1_SP,==,682
Identifier,1_NL,void,913
{,1_NL_4_ID_SP,double,282
DecimalFloatingPoint,1_SP,:,26
{,0_None,DecimalInteger,142
DecimalInteger,0_None,},145
{,0_None,{,13
},0_None,},13
Identifier,2_SP,=,81
},3_NL,static,4
;,2_NL,switch,275
{,1_NL_2_DD_SP,long,29
>=,1_SP,(,19
},2_NL,(,2
private,1_SP,short,17
short,0_None,[,151
;,0_None,Comment,192
new,1_SP,short,18
[,0_None,this,23
(,0_None,short,646
short,0_None,),576
:,0_None,{,2
protected,1_SP,volatile,28
volatile,1_SP,int,67
},1_NL,case,3891
},1_NL,default,312
],1_SP,?,6
{,3_NL_2_ID_SP,Comment,8
;,3_NL_2_DD_SP,default,1
},2_NL_2_ID_SP,Comment,4
&&,1_SP,this,356
{,1_NL_4_DD_SP,super,135
{,1_NL_4_ID_SP,long,2837
(,1_NL_8_ID_SP,long,61
{,1_NL_4_DD_SP,this,325
DecimalInteger,1_SP,;,4
<,0_None,float,17
Identifier,1_NL_2_ID_SP,.,88
",",1_NL_15_ID_SP,int,1
{,1_NL_13_DD_SP,this,11
",",1_NL_15_ID_SP,boolean,1
{,1_NL_2_DD_SP,try,30
final,1_SP,void,619
},1_NL,assert,61
",",0_None,DecimalFloatingPoint,2
},3_NL,class,6
],0_None,++,37
;,3_NL,if,46
",",1_NL_21_ID_SP,float,1
{,1_NL_19_DD_SP,super,3
{,1_NL_18_DD_SP,super,19
",",1_NL_21_ID_SP,int,1
",",1_NL_30_ID_SP,int,2
},1_NL,byte,139
],1_SP,|=,16
|=,1_SP,HexInteger,4
HexInteger,0_None,;,1041
static,1_SP,long,703
==,1_SP,HexInteger,86
],1_SP,&=,5
&=,1_SP,HexInteger,55
Comment,2_NL,int,433
:,1_NL_2_ID_SP,for,20
static,1_SP,<,1080
;,3_NL,for,13
Identifier,0_None,+,1702
+,0_None,DecimalInteger,165
;,1_SP,int,1
},4_NL,Annotation,125
/,1_SP,DecimalFloatingPoint,54
Identifier,1_NL_2_ID_SP,-,10
Identifier,1_NL_8_ID_SP,+,96
+,0_None,String,3551
=,1_NL_8_ID_SP,new,795
!=,1_SP,Boolean,1
},1_NL,continue,72
extends,2_SP,Identifier,1
Identifier,1_NL_8_ID_SP,?,88
;,1_NL_8_DD_SP,Comment,373
",",1_NL_8_ID_SP,(,137
{,1_NL_4_DD_SP,long,19
",",1_NL_26_ID_SP,int,1
{,1_NL_22_DD_SP,long,1
",",1_NL_22_ID_SP,int,1
{,1_NL_18_DD_SP,long,1
=,1_NL_8_ID_SP,(,159
;,1_NL_16_DD_SP,for,15
(,1_NL_8_ID_SP,String,1239
;,2_NL,assert,13
{,1_NL_4_ID_SP,assert,596
;,2_NL_4_DD_SP,long,15
assert,1_SP,this,11
(,1_NL_4_ID_SP,boolean,3
DecimalInteger,1_NL_4_DD_SP,),34
;,3_NL_8_DD_SP,Identifier,4
{,1_NL_2_DD_SP,double,3
{,1_NL_2_DD_SP,float,3
},5_NL,public,2
(,1_NL_4_ID_SP,double,3
(,1_NL_4_ID_SP,float,3
),1_NL_8_DD_SP,),434
{,0_None,return,12
{,1_NL,int,13
!=,1_SP,String,61
String,1_SP,&&,91
;,2_NL_2_DD_SP,Comment,38
;,2_NL_8_DD_SP,assert,1
},2_NL,abstract,170
=,1_SP,HexInteger,313
+=,1_SP,DecimalFloatingPoint,2
Identifier,1_NL_4_ID_SP,&&,55
Comment,1_NL,EOF,173
transient,1_SP,Identifier,424
},2_NL,assert,25
static,1_SP,synchronized,78
",",1_NL_43_ID_SP,int,2
{,2_NL_41_DD_SP,Identifier,1
{,0_None,Comment,144
Comment,1_NL_2_ID_SP,long,2
Identifier,1_NL_4_ID_SP,<=,1
{,1_NL_6_DD_SP,Comment,1
Identifier,1_NL_4_ID_SP,>=,2
<<,1_SP,(,77
Comment,1_NL_2_ID_SP,if,14
Comment,1_NL_2_ID_SP,return,18
Comment,1_NL_2_ID_SP,for,2
private,1_SP,enum,77
;,2_NL_4_DD_SP,assert,5
Comment,2_NL,while,8
{,2_NL_2_ID_SP,long,2
;,2_NL,default,76
{,1_NL_41_DD_SP,if,3
:,1_SP,DecimalFloatingPoint,11
;,2_NL_8_DD_SP,float,2
;,2_NL_4_DD_SP,float,1
;,3_NL_4_DD_SP,int,1
{,1_NL_2_ID_SP,static,3
assert,0_None,(,3
--,1_SP,>=,1
>,1_SP,void,664
>,1_SP,int,72
<,0_None,double,17
Comment,1_NL,interface,83
{,2_NL_2_ID_SP,static,23
),1_NL_2_ID_SP,||,17
public,1_SP,transient,4
(,1_NL_56_ID_SP,Identifier,1
;,2_NL_56_DD_SP,Identifier,1
(,1_NL_54_ID_SP,Identifier,1
",",1_NL_64_ID_SP,Identifier,2
;,1_NL_66_DD_SP,Identifier,3
(,1_NL_64_ID_SP,Identifier,1
;,1_NL_64_DD_SP,Identifier,1
.,0_None,<,393
>,0_None,Identifier,459
),1_NL_4_ID_SP,Comment,7
Comment,1_NL,.,200
;,1_NL_4_DD_SP,super,10
},1_NL,long,454
{,2_NL_2_ID_SP,<,1
{,1_NL_10_DD_SP,super,2
},2_NL,<,45
{,1_NL_9_DD_SP,super,1
;,2_NL,enum,48
;,1_NL_3_DD_SP,Identifier,11
;,1_NL_3_ID_SP,Identifier,146
Comment,1_NL,<,174
;,2_NL_1_DD_SP,Comment,14
Comment,1_NL_1_ID_SP,<,2
Comment,1_NL_1_DD_SP,void,3
),1_NL_6_ID_SP,.,34
;,1_NL_6_DD_SP,Identifier,48
{,2_NL_2_ID_SP,enum,5
Comment,1_NL_1_ID_SP,void,4
>,1_NL_4_ID_SP,Identifier,52
Identifier,1_NL_4_ID_SP,implements,140
{,1_NL,public,2
},1_NL,else,7733
Identifier,1_SP,^,165
^,1_SP,(,134
Comment,1_NL,class,546
),1_NL_4_ID_SP,Identifier,1099
),1_NL,protected,326
),1_NL_4_ID_SP,return,340
},1_NL,catch,4312
",",1_NL_4_ID_SP,DecimalInteger,5
),0_None,DecimalInteger,48
Identifier,1_NL_4_ID_SP,=,45
",",1_NL,void,1
void,0_None,.,26
;,2_NL_4_DD_SP,private,97
String,1_SP,&,1
new,0_None,",",70
;,1_NL,new,85
),1_NL_4_ID_SP,throw,221
",",1_SP,Annotation,1051
final,1_SP,char,199
char,0_None,[,722
new,1_SP,char,180
Comment,2_NL_4_ID_SP,Comment,16
Identifier,1_NL_4_ID_SP,extends,712
{,1_NL,private,10
==,1_SP,boolean,12
",",1_NL,;,25
{,1_NL_4_ID_SP,switch,880
{,1_NL_4_ID_SP,case,1012
:,1_NL_4_ID_SP,return,6331
;,1_NL_4_DD_SP,case,10047
;,1_NL_4_DD_SP,default,1578
.,1_NL_4_ID_SP,Identifier,317
->,1_SP,String,27
<,0_None,byte,163
;,2_NL,byte,70
;,3_NL_4_DD_SP,Comment,123
Identifier,1_SP,Annotation,563
Identifier,1_SP,Comment,253
private,1_SP,abstract,63
Identifier,1_NL_4_DD_SP,),1999
{,1_NL_4_ID_SP,HexInteger,1
HexInteger,0_None,",",551
",",1_SP,HexInteger,314
",",1_NL,HexInteger,51
HexInteger,0_None,},2
;,1_NL_4_DD_SP,private,32
),1_SP,^,133
^,1_SP,Identifier,157
],1_SP,^,2
||,1_SP,this,120
;,1_NL_4_DD_SP,else,185
else,1_NL_4_ID_SP,Identifier,78
),1_SP,protected,4
Comment,1_NL_8_DD_SP,Comment,26
Comment,2_NL_8_ID_SP,return,8
},1_SP,Comment,196
Comment,2_NL,private,491
DecimalInteger,1_SP,|,35
),1_SP,<<,695
},1_NL_4_DD_SP,),38
;,2_NL_4_DD_SP,boolean,11
:,1_SP,(,495
Comment,1_NL,abstract,212
(,0_None,void,4
==,1_SP,byte,13
class,1_SP,||,65
==,1_SP,char,12
==,1_SP,short,11
==,1_SP,int,12
==,1_SP,long,16
==,1_SP,float,13
==,1_SP,double,17
==,1_SP,void,8
->,1_SP,Boolean,72
),1_NL_4_DD_SP,Comment,6
),1_NL_4_ID_SP,?,29
),1_NL_4_ID_SP,(,20
},2_NL_4_DD_SP,Comment,50
Comment,2_NL_12_ID_SP,if,3
{,1_NL_4_DD_SP,Comment,269
Comment,2_NL_8_ID_SP,if,19
>,1_SP,boolean,223
),1_NL_4_ID_SP,break,8
Identifier,1_NL_8_DD_SP,{,1409
),1_NL,{,93141
!=,1_SP,void,6
",",1_SP,char,111
},2_NL,++,1
++,1_SP,==,18
=,1_SP,++,11
Comment,1_NL,char,22
>=,1_SP,this,52
assert,1_SP,!,105
?,1_NL_4_ID_SP,Identifier,58
abstract,1_SP,static,135
-,1_SP,this,21
!,0_None,String,396
),1_NL_8_DD_SP,{,2657
;,2_NL_8_DD_SP,for,36
>,0_None,...,136
},2_NL,while,56
DecimalInteger,1_NL_4_ID_SP,?,33
:,1_NL_2_ID_SP,if,26
;,1_NL_4_ID_SP,Identifier,16
Null,1_NL_4_ID_SP,?,19
;,1_NL_4_DD_SP,try,50
{,2_NL_2_ID_SP,boolean,6
{,1_NL_2_ID_SP,{,1
{,1_NL_2_ID_SP,String,14
->,1_NL_4_ID_SP,(,7
Null,1_NL_8_ID_SP,&&,68
),1_NL_8_DD_SP,||,7
Comment,1_NL_4_DD_SP,private,8
:,1_NL_2_ID_SP,Comment,38
},1_NL,switch,181
boolean,0_None,),24
;,1_NL_8_DD_SP,this,163
:,1_NL_2_ID_SP,long,2
:,1_NL_2_ID_SP,float,2
:,1_NL_2_ID_SP,double,2
:,1_NL_2_ID_SP,boolean,2
boolean,0_None,[,200
public,1_SP,short,124
;,2_NL_4_DD_SP,protected,7
Comment,1_NL,break,118
{,1_NL_2_ID_SP,break,55
Null,1_NL_4_ID_SP,||,59
&&,1_SP,super,9
;,2_NL_12_DD_SP,for,2
;,2_NL_4_DD_SP,Annotation,34
),1_NL_4_ID_SP,||,84
Identifier,1_NL,&&,162
Comment,1_NL,default,319
(,0_None,;,147
;,1_NL_12_DD_SP,try,3
->,1_NL_4_ID_SP,Identifier,109
<=,1_SP,this,17
:,1_NL_2_ID_SP,this,29
:,1_NL_2_DD_SP,},1
),1_SP,DecimalInteger,755
;,1_NL,synchronized,374
Comment,2_NL_4_DD_SP,Identifier,1
;,1_NL_12_DD_SP,this,1
{,1_NL_6_DD_SP,Identifier,7
),1_NL_4_ID_SP,==,5
Comment,1_NL_2_ID_SP,byte,2
),1_NL_4_DD_SP,public,18
),1_NL_4_DD_SP,private,11
{,2_NL_10_DD_SP,Identifier,1
{,1_NL_10_DD_SP,Identifier,4
String,1_NL_2_DD_SP,},14
Identifier,1_NL,boolean,201
Null,1_NL,&&,51
;,2_NL_8_DD_SP,public,130
{,1_NL_6_DD_SP,this,3
--,1_SP,<=,12
DecimalInteger,1_NL,&&,7
Identifier,1_NL_4_ID_SP,?,1
;,2_NL,super,61
default,1_SP,void,271
|=,1_SP,Identifier,297
",",1_SP,+,2
+,0_None,Identifier,3680
;,1_NL_4_DD_SP,break,744
;,2_NL_8_DD_SP,private,222
+,1_SP,++,1
{,2_NL_2_DD_SP,byte,6
;,2_NL_8_DD_SP,Annotation,467
;,1_NL_4_DD_SP,throw,36
),1_NL,||,132
Null,1_NL,||,50
Comment,1_NL_2_DD_SP,case,3
final,1_SP,short,34
new,1_SP,boolean,36
<,0_None,boolean,12
DecimalInteger,1_NL,||,2
{,2_NL_2_DD_SP,switch,1
<<=,1_SP,(,1
String,1_NL_4_DD_SP,),990
{,1_NL_6_ID_SP,Identifier,11
),1_NL,),40
throws,1_NL_4_ID_SP,Identifier,7
{,1_NL_4_ID_SP,String,448
String,1_NL_4_DD_SP,},446
],0_None,::,183
Identifier,1_SP,&=,123
&=,1_SP,Identifier,31
&&,1_SP,Null,71
?,1_SP,!,55
",",1_NL_24_ID_SP,final,23
),1_NL,;,307
;,3_NL_8_DD_SP,private,6
;,1_NL_8_DD_SP,private,208
+,1_SP,new,66
},2_NL_4_DD_SP,),2
class,1_SP,},8
Identifier,1_NL_1_DD_SP,",",1
},4_NL_2_DD_SP,},9
(,1_NL_8_ID_SP,final,87
final,1_SP,Annotation,6
),1_NL_6_ID_SP,Annotation,2
Identifier,1_NL_6_DD_SP,Identifier,2
class,1_NL_4_ID_SP,&&,6
class,1_NL,&&,19
!=,1_SP,byte,7
),1_SP,Null,80
),1_NL,!=,4
||,1_SP,Null,39
{,1_NL_2_DD_SP,Annotation,16
;,1_NL_4_DD_SP,continue,20
abstract,1_SP,boolean,214
private,1_SP,interface,37
},2_NL,synchronized,174
{,1_NL_2_DD_SP,continue,7
),1_SP,this,644
?,1_NL_4_ID_SP,Null,12
Boolean,1_NL_4_DD_SP,),156
",",1_NL_4_DD_SP,String,22
Comment,1_NL_2_DD_SP,if,11
:,1_NL,default,73
||,1_NL_4_ID_SP,!,14
Comment,1_NL_3_DD_TB,Comment,15
Comment,1_NL_3_ID_SP,Identifier,133
DecimalInteger,1_NL_4_ID_SP,&&,7
synchronized,1_SP,Identifier,508
synchronized,1_SP,<,73
>,1_SP,&&,7
(,1_SP,Comment,47
Comment,3_NL,Comment,29
Comment,1_NL,static,834
",",1_NL_4_ID_SP,Null,13
{,1_NL_2_DD_SP,byte,1
.,1_NL,Identifier,659
;,2_NL_4_DD_SP,this,11
{,1_NL_6_ID_SP,Comment,3
),1_NL,void,279
Comment,1_NL_6_DD_SP,Comment,5
Comment,2_NL_6_ID_SP,try,4
;,1_NL_4_DD_SP,boolean,8
;,1_NL_8_DD_SP,long,67
;,1_NL_4_DD_SP,double,1
",",1_NL_4_DD_SP,new,5
{,1_NL_2_ID_SP,default,5
Comment,1_NL,new,108
",",1_NL_4_ID_SP,Annotation,29
),1_NL_8_ID_SP,+,127
),1_NL_4_DD_SP,",",3
Comment,0_None,),25
String,1_NL,.,3
;,1_NL_3_DD_TB,this,4
Identifier,1_NL,Comment,77
+,1_NL_4_ID_SP,(,4
;,1_NL_12_DD_SP,int,11
",",1_NL_4_ID_SP,Boolean,28
Identifier,1_NL_4_ID_SP,||,16
),1_NL,",",34
Identifier,1_NL_4_ID_SP,:,48
;,1_NL_8_DD_SP,super,6
public,2_SP,class,1
=,2_SP,new,224
->,1_NL_4_ID_SP,{,3
(,1_SP,new,2428
(,0_None,char,457
Comment,1_NL_3_DD_TB,Identifier,9
>,1_NL_4_ID_SP,extends,24
{,1_NL_2_DD_SP,protected,1
.,0_None,this,431
),0_None,Null,22
synchronized,1_SP,boolean,75
private,1_SP,synchronized,146
;,2_NL_4_DD_SP,static,2
:,1_NL_4_ID_SP,(,9
Comment,2_NL_2_ID_SP,Annotation,1
},1_NL,Annotation,153
{,3_NL_2_ID_SP,Annotation,9
synchronized,1_SP,int,61
;,2_NL,interface,103
DecimalInteger,1_SP,<=,115
{,1_NL_4_ID_SP,break,951
),1_SP,.,7
;,1_NL_8_DD_SP,continue,6
{,2_NL_4_ID_SP,static,53
",",1_NL_25_ID_SP,final,61
{,1_NL_21_DD_SP,for,1
Identifier,2_SP,implements,6
",",1_NL_38_ID_SP,final,171
{,1_NL_34_DD_SP,Identifier,171
{,1_NL_21_DD_SP,Identifier,2
->,1_SP,Null,19
",",1_NL_23_ID_SP,final,24
{,2_NL_3_ID_SP,public,16
{,1_NL_21_DD_SP,return,4
",",1_NL_26_ID_SP,final,51
{,1_NL_22_DD_SP,boolean,1
{,1_NL_4_DD_SP,return,511
{,1_NL_19_DD_SP,return,4
{,1_NL_20_DD_SP,boolean,1
{,1_NL_5_ID_SP,Identifier,55
;,1_NL_5_DD_SP,},57
final,1_SP,synchronized,17
",",1_NL_27_ID_SP,final,103
?,1_SP,super,381
super,1_SP,Identifier,379
",",1_SP,super,218
(,1_SP,DecimalInteger,2033
=,1_NL_8_ID_SP,String,129
;,1_NL_8_DD_SP,public,56
=,2_SP,String,17
(,1_SP,this,2279
(,1_SP,!,3053
{,3_NL_4_ID_SP,final,2
},2_NL,else,9
this,1_SP,),1220
;,4_NL,private,8
},1_SP,),749
(,1_SP,final,841
{,3_NL_4_ID_SP,private,32
(,1_SP,long,6111
},3_NL,protected,59
:,1_NL_7_ID_SP,Identifier,26
(,1_SP,Null,402
>,1_SP,),61
=,1_SP,!,261
(,1_SP,byte,694
),1_SP,int,10
;,5_NL,Comment,6
{,3_NL_4_ID_SP,Comment,12
Comment,2_NL,return,82
},3_NL,final,4
{,2_NL_45_DD_SP,this,7
{,2_NL_4_ID_SP,final,90
",",1_NL_51_ID_SP,final,8
{,2_NL_47_DD_SP,final,7
",",1_NL_50_ID_SP,final,21
{,2_NL_46_DD_SP,final,7
",",1_NL_29_ID_SP,final,110
{,1_NL_25_DD_SP,super,9
;,2_NL_8_DD_SP,static,52
Boolean,1_SP,),2117
;,3_NL,final,54
;,3_NL,return,64
*,1_SP,-,5
{,2_NL_4_ID_SP,this,153
Comment,1_NL,else,112
{,2_NL_57_DD_SP,return,1
{,1_NL_45_DD_SP,super,2
(,1_SP,boolean,596
;,3_NL_8_DD_SP,public,3
",",1_NL_30_ID_SP,final,238
{,1_NL_26_DD_SP,this,13
Comment,3_NL,final,2
),1_NL_22_ID_SP,.,7
;,3_NL_26_DD_SP,Comment,1
Comment,2_NL,final,29
;,3_NL_26_DD_SP,final,1
(,1_NL_4_ID_SP,final,180
{,3_NL,final,1
=,0_None,Identifier,245
Comment,1_NL_1_DD_SP,return,13
{,2_NL_5_ID_SP,final,1
),2_NL,Comment,2
;,2_NL_8_DD_SP,Comment,840
),2_NL_4_DD_SP,Comment,1
->,2_SP,new,1
),1_SP,;,50
},6_NL,public,2
Identifier,2_SP,),35
Comment,1_NL_4_ID_SP,},42
{,1_NL_22_DD_SP,super,20
;,1_NL,;,5
(,1_SP,Annotation,682
Identifier,1_NL_83_ID_SP,.,2
{,1_NL_79_DD_SP,Identifier,2
class,1_SP,),1909
{,3_NL_4_ID_SP,Identifier,16
),1_NL,int,45
(,1_SP,double,262
DecimalFloatingPoint,1_SP,),69
{,1_NL_4_DD_SP,Annotation,5
{,4_NL_4_ID_SP,final,1
),2_SP,),27
=,3_SP,Identifier,6
abstract,1_SP,byte,23
final,1_NL,Identifier,3
>,1_SP,-,48
},2_NL,continue,16
Comment,1_NL,synchronized,520
",",1_NL_8_ID_SP,new,529
Null,2_SP,),1
{,3_NL_4_ID_SP,Annotation,8
(,1_SP,float,102
default,1_SP,Boolean,75
),1_NL_8_DD_SP,protected,6
{,2_NL_4_DD_SP,Comment,76
;,3_NL,int,8
;,2_NL_4_DD_SP,final,146
},1_NL_4_DD_SP,Identifier,199
return,1_NL_4_ID_SP,Identifier,203
&&,1_NL,super,131
Identifier,1_NL,{,16262
(,1_NL_16_ID_SP,Identifier,74
},2_NL_1_ID_SP,Comment,23
Comment,1_NL_1_DD_SP,public,9
{,1_NL_5_ID_SP,return,10
),1_SP,new,98
instanceof,1_SP,byte,114
else,1_NL_4_ID_SP,return,15
Comment,1_NL_1_DD_SP,private,3
else,1_SP,throw,206
},1_NL_8_DD_SP,},54
Comment,1_NL_1_ID_SP,Identifier,66
;,1_NL_1_DD_SP,Identifier,8
final,1_SP,transient,45
),1_NL_8_ID_SP,&&,355
),1_NL_8_ID_SP,?,126
?,1_NL_8_ID_SP,Identifier,63
:,1_NL,Identifier,896
Identifier,1_NL,abstract,25
;,2_NL_16_DD_SP,Annotation,52
Identifier,1_NL_8_ID_SP,Comment,11
Comment,1_NL,?,15
Identifier,1_SP,int,12
{,1_SP,throw,30
Comment,1_NL_20_DD_SP,},7
Comment,1_NL,:,22
{,1_NL_1_ID_TB,Annotation,867
",",1_NL_10_ID_TB,DecimalInteger,4
),1_NL_10_DD_TB,),4
Comment,1_NL_1_DD_TB,},1950
catch,0_None,(,1314
String,0_None,+,2537
{,1_NL_1_ID_TB,for,1298
{,2_NL_1_ID_TB,public,231
(,1_NL_1_ID_TB,(,13
Null,1_NL_1_ID_TB,?,9
Identifier,1_NL,:,44
;,1_NL_2_DD_TB,},1639
},1_NL_1_DD_TB,),9
),1_NL_2_ID_TB,.,117
(,1_NL_2_ID_TB,String,248
String,1_NL_2_DD_TB,),45
;,2_NL_2_DD_TB,Identifier,126
Identifier,0_None,->,124
->,0_None,new,18
Identifier,0_None,==,177
==,0_None,Null,199
),0_None,+,1966
},2_NL_1_DD_TB,},2589
{,2_NL_1_ID_TB,Identifier,1876
{,1_NL_1_ID_TB,int,430
;,2_NL_1_DD_TB,},2256
",",0_None,Annotation,9
Identifier,2_SP,Identifier,192
Identifier,1_NL_2_ID_TB,.,116
->,1_NL_1_ID_TB,Identifier,13
),1_NL_1_ID_TB,.,301
->,0_None,Identifier,103
),1_NL_1_ID_TB,throw,1907
;,1_NL_1_DD_TB,return,300
(,1_NL_1_ID_TB,String,151
},3_NL_1_DD_TB,},24
{,1_NL_1_ID_TB,super,809
?,0_None,DecimalInteger,3
:,0_None,DecimalInteger,3
{,3_NL_1_ID_TB,Annotation,20
protected,1_SP,transient,63
},1_NL,synchronized,55
),1_NL_1_ID_TB,Identifier,1204
;,1_NL_1_DD_TB,else,387
else,1_NL_1_ID_TB,Identifier,104
(,1_NL_1_ID_TB,Identifier,227
),1_NL_1_DD_TB,),117
Identifier,0_None,-,107
=,0_None,Annotation,2
{,1_NL_1_ID_TB,long,191
),1_NL_5_ID_SP,&&,16
;,1_NL_5_DD_TB,if,5
class,1_NL_2_DD_TB,),19
return,2_SP,(,27
{,2_NL_1_ID_TB,return,179
;,2_NL_1_DD_TB,Identifier,373
{,1_NL_1_ID_TB,boolean,272
{,0_None,Annotation,46
{,1_NL_1_ID_TB,(,46
;,2_NL_3_DD_TB,},200
{,1_NL_1_ID_TB,continue,291
Comment,1_NL_2_ID_TB,},7
),0_None,?,14
private,1_SP,char,51
),1_SP,Annotation,296
Identifier,1_NL_1_ID_TB,.,151
;,2_NL_1_ID_TB,Identifier,2
;,2_NL_1_DD_TB,if,102
},3_NL_1_DD_SP,},82
Comment,1_NL,{,272
),1_NL_1_ID_TB,||,40
{,1_NL,continue,56
>,0_None,{,84
Identifier,0_None,!=,95
!=,0_None,Null,106
),0_None,!=,21
!=,0_None,DecimalInteger,10
(,1_NL_1_ID_TB,new,31
Identifier,1_NL_1_DD_TB,),31
),0_None,>,40
),0_None,<,3
),0_None,-,90
{,1_NL_1_ID_TB,void,11
{,2_NL_2_ID_TB,Identifier,16
;,4_NL,for,12
},2_NL_1_ID_TB,Annotation,16
{,2_NL_1_ID_TB,void,17
;,1_NL_1_DD_TB,if,334
;,1_NL_4_DD_TB,},155
{,3_NL_1_ID_TB,return,1
return,1_NL_2_ID_TB,new,9
),1_NL_2_DD_TB,;,9
=,1_SP,Annotation,93
),1_NL_10_ID_TB,.,12
;,1_NL_10_DD_TB,int,12
?,1_NL_1_ID_TB,Null,11
;,2_NL_5_DD_TB,Identifier,11
{,3_NL_1_ID_TB,Identifier,8
),1_NL_2_DD_TB,.,9
;,5_NL_14_DD_TB,public,6
),1_NL_1_ID_TB,return,554
;,0_None,Identifier,256
},1_NL,finally,867
",",0_None,?,246
;,1_NL_1_ID_TB,Comment,74
Comment,1_NL_1_DD_TB,Identifier,21
?,2_SP,Identifier,17
),1_SP,",",33
+,1_NL_2_ID_TB,String,641
;,2_NL_2_DD_TB,Comment,243
